,Env,Learning Freq.,Target Update Freq.,Step Size,Buffer Size,Num Episodes,Algorithm
120,MountainCar1000-v0,1,100,0.0005,10000,776.0799999999999,"FFN, 10"
121,MountainCar1000-v0,1,100,0.0005,100000,901.4399999999999,"FFN, 10"
122,MountainCar1000-v0,1,100,0.005,10000,999.9399999999999,"FFN, 10"
123,MountainCar1000-v0,1,100,0.005,100000,998.4399999999999,"FFN, 10"
124,MountainCar1000-v0,1,100,5e-05,10000,966.3700000000001,"FFN, 10"
125,MountainCar1000-v0,1,100,5e-05,100000,909.7099999999998,"FFN, 10"
126,MountainCar1000-v0,1,1000,0.0005,10000,741.02,"FFN, 10"
127,MountainCar1000-v0,1,1000,0.0005,100000,838.0799999999999,"FFN, 10"
128,MountainCar1000-v0,1,1000,0.005,10000,1000.0,"FFN, 10"
129,MountainCar1000-v0,1,1000,0.005,100000,1000.0,"FFN, 10"
130,MountainCar1000-v0,1,1000,5e-05,10000,901.26,"FFN, 10"
131,MountainCar1000-v0,1,1000,5e-05,100000,871.0099999999999,"FFN, 10"
132,MountainCar1000-v0,10,10,0.0005,10000,980.95,"FFN, 10"
133,MountainCar1000-v0,10,10,0.0005,100000,1000.0,"FFN, 10"
134,MountainCar1000-v0,10,10,0.005,10000,907.61,"FFN, 10"
135,MountainCar1000-v0,10,10,0.005,100000,914.5899999999999,"FFN, 10"
136,MountainCar1000-v0,10,10,5e-05,10000,994.1,"FFN, 10"
137,MountainCar1000-v0,10,10,5e-05,100000,992.35,"FFN, 10"
138,MountainCar1000-v0,10,100,0.0005,10000,991.1899999999999,"FFN, 10"
139,MountainCar1000-v0,10,100,0.0005,100000,965.4099999999999,"FFN, 10"
140,MountainCar1000-v0,10,100,0.005,10000,561.56,"FFN, 10"
141,MountainCar1000-v0,10,100,0.005,100000,647.35,"FFN, 10"
142,MountainCar1000-v0,10,100,5e-05,10000,994.8900000000001,"FFN, 10"
143,MountainCar1000-v0,10,100,5e-05,100000,988.8199999999999,"FFN, 10"
144,MountainCar1000-v0,10,1000,0.0005,10000,921.9199999999998,"FFN, 10"
145,MountainCar1000-v0,10,1000,0.0005,100000,930.61,"FFN, 10"
146,MountainCar1000-v0,10,1000,0.005,10000,371.64000000000004,"FFN, 10"
147,MountainCar1000-v0,10,1000,0.005,100000,370.23999999999995,"FFN, 10"
148,MountainCar1000-v0,10,1000,5e-05,10000,992.1899999999999,"FFN, 10"
149,MountainCar1000-v0,10,1000,5e-05,100000,993.71,"FFN, 10"
150,MountainCar1000-v0,100,100,0.0005,10000,995.99,"FFN, 10"
151,MountainCar1000-v0,100,100,0.0005,100000,998.46,"FFN, 10"
152,MountainCar1000-v0,100,100,0.005,10000,993.74,"FFN, 10"
153,MountainCar1000-v0,100,100,0.005,100000,995.6,"FFN, 10"
154,MountainCar1000-v0,100,100,5e-05,10000,1000.0,"FFN, 10"
155,MountainCar1000-v0,100,100,5e-05,100000,1000.0,"FFN, 10"
156,MountainCar1000-v0,100,1000,0.0005,10000,992.04,"FFN, 10"
157,MountainCar1000-v0,100,1000,0.0005,100000,999.01,"FFN, 10"
158,MountainCar1000-v0,100,1000,0.005,10000,989.6100000000002,"FFN, 10"
159,MountainCar1000-v0,100,1000,0.005,100000,997.4,"FFN, 10"
160,MountainCar1000-v0,100,1000,5e-05,10000,997.8799999999999,"FFN, 10"
161,MountainCar1000-v0,100,1000,5e-05,100000,995.8299999999999,"FFN, 10"
162,envs:random_maze-v0,1,1,0.0005,10000,24.439999999999998,"FFN, 10"
163,envs:random_maze-v0,1,1,0.0005,100000,15.01,"FFN, 10"
164,envs:random_maze-v0,1,1,0.005,10000,617.04,"FFN, 10"
165,envs:random_maze-v0,1,1,0.005,100000,292.46000000000004,"FFN, 10"
166,envs:random_maze-v0,1,1,5e-05,10000,14.99,"FFN, 10"
167,envs:random_maze-v0,1,1,5e-05,100000,15.01,"FFN, 10"
168,envs:random_maze-v0,1,10,0.0005,10000,14.979999999999999,"FFN, 10"
169,envs:random_maze-v0,1,10,0.0005,100000,15.0,"FFN, 10"
170,envs:random_maze-v0,1,10,0.005,10000,254.78999999999996,"FFN, 10"
171,envs:random_maze-v0,1,10,0.005,100000,300.69999999999993,"FFN, 10"
172,envs:random_maze-v0,1,10,5e-05,10000,14.979999999999999,"FFN, 10"
173,envs:random_maze-v0,1,10,5e-05,100000,15.0,"FFN, 10"
174,envs:random_maze-v0,1,100,0.0005,10000,14.979999999999999,"FFN, 10"
175,envs:random_maze-v0,1,100,0.0005,100000,15.059999999999999,"FFN, 10"
176,envs:random_maze-v0,1,100,0.005,10000,160.85999999999999,"FFN, 10"
177,envs:random_maze-v0,1,100,0.005,100000,203.65,"FFN, 10"
178,envs:random_maze-v0,1,100,5e-05,10000,14.989999999999998,"FFN, 10"
179,envs:random_maze-v0,1,100,5e-05,100000,15.01,"FFN, 10"
180,envs:random_maze-v0,1,1000,0.0005,10000,15.009999999999996,"FFN, 10"
181,envs:random_maze-v0,1,1000,0.0005,100000,14.99,"FFN, 10"
182,envs:random_maze-v0,1,1000,0.005,10000,518.6600000000001,"FFN, 10"
183,envs:random_maze-v0,1,1000,0.005,100000,255.75,"FFN, 10"
184,envs:random_maze-v0,1,1000,5e-05,10000,14.969999999999999,"FFN, 10"
185,envs:random_maze-v0,1,1000,5e-05,100000,14.99,"FFN, 10"
186,envs:random_maze-v0,10,10,0.0005,10000,15.059999999999999,"FFN, 10"
187,envs:random_maze-v0,10,10,0.0005,100000,14.969999999999999,"FFN, 10"
188,envs:random_maze-v0,10,10,0.005,10000,313.95,"FFN, 10"
